,alias,cur_rating,review_count,avg_rating,rating_1s,rating_2s,rating_3s,rating_4s,rating_5s,rw_review_count,rw_avg_rating,rw_rating_1s,rw_rating_2s,rw_rating_3s,rw_rating_4s,rw_rating_5s,price_range,restaurant_main_type
183,massoni-new-york-2,4.0,209,3.94,11,23,30,48,97,7,3.86,1,0,1,2,3,$31 to $50,Italian
184,tarallucci-e-vino-upper-west-side-new-york,3.5,111,3.67,10,9,25,31,36,0,,0,0,0,0,0,$31 to $50,Italian
185,clement-new-york-13,4.0,133,4.14,4,8,19,37,65,2,4.5,0,0,0,1,1,$31 to $50,American
186,mifune-new-york-new-york-2,4.0,132,3.83,12,9,19,41,51,19,4.0,0,1,5,6,7,$31 to $50,Japanese & Koren
187,sutton-inn-new-york,4.0,110,4.24,8,7,6,19,70,2,5.0,0,0,0,0,2,$30 and under,American
188,the-house-new-york,3.5,374,3.61,34,40,62,139,99,1,5.0,0,0,0,0,1,$31 to $50,American
189,cleo-new-york-2,4.0,71,4.23,4,4,6,15,42,4,3.75,0,1,0,2,1,$31 to $50,Mediterranean
190,naoki-takahashi-new-york,4.0,116,4.12,6,7,16,25,62,14,4.21,0,2,1,3,8,$31 to $50,Japanese & Koren
191,junoon-new-york,3.5,1356,3.64,141,157,216,378,464,13,3.85,2,0,2,3,6,$50 and over,Indian
192,brasserie-cognac-new-york-2,3.5,346,3.35,35,54,75,120,62,1,4.0,0,0,0,1,0,$31 to $50,French
193,scampi-new-york-2,4.0,162,4.15,7,11,17,43,84,5,3.6,1,0,0,3,1,$30 and under,Italian
194,society-cafe-new-york-2,4.0,131,4.11,4,13,13,36,65,10,3.6,2,0,2,2,4,$31 to $50,American
195,suzuki-new-york-3,4.0,110,3.86,11,11,13,22,53,4,2.75,1,1,1,0,1,$50 and over,Japanese & Koren
196,inakaya-new-york,3.5,511,3.66,46,48,94,170,153,6,4.67,0,0,0,2,4,$31 to $50,Japanese & Koren
197,rossinis-new-york,4.0,177,3.85,17,17,18,48,77,5,4.8,0,0,0,1,4,$31 to $50,Italian
198,charlie-palmer-steak-new-york-2,4.0,192,3.97,12,16,25,51,88,6,4.33,0,0,1,2,3,$31 to $50,Steakhouse
199,bocca-restaurant-and-bar-new-york,3.5,347,3.73,31,22,66,119,109,4,3.75,0,0,2,1,1,$30 and under,Italian
200,nyy-steak-new-york-2,4.0,261,4.15,11,14,35,66,135,5,4.6,0,0,0,2,3,$31 to $50,Steakhouse
201,irvington-new-york-2,3.5,188,3.65,17,19,39,50,63,2,4.0,0,0,1,0,1,$30 and under,Contemporary American
202,charlie-palmer-at-the-knick-new-york-2,3.0,61,3.11,11,9,15,14,12,5,3.4,0,1,2,1,1,$31 to $50,Contemporary American
203,nick-and-stefs-steakhouse-new-york,3.5,204,3.45,21,26,48,58,51,0,,0,0,0,0,0,$31 to $50,Steakhouse
204,altesi-ristorante-new-york,4.0,51,3.82,8,2,5,12,24,1,1.0,1,0,0,0,0,$31 to $50,Italian
205,giorgios-of-gramercy-new-york,4.0,719,4.06,28,39,94,260,298,2,4.0,0,0,0,2,0,$31 to $50,Contemporary American
206,perrine-new-york-2,4.0,56,3.88,4,4,11,13,24,6,2.67,1,2,2,0,1,$31 to $50,French
207,la-fonda-del-sol-new-york,3.5,301,3.43,16,49,82,98,56,3,4.0,0,0,0,3,0,$31 to $50,Spanish
208,morrell-wine-bar-and-cafe-new-york,3.5,223,3.56,22,27,39,74,61,1,4.0,0,0,0,1,0,$31 to $50,American
